trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.9656054162575665, 'e': 0.7046880897187134}",25,0,-61.5060735678279,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.9646402934831231, 'e': 0.6976763260710311}",25,0,-98.09353562466028,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
36,False,"{'a': 0.9636761353490535, 'e': 0.6907343306373547}",25,0,-87.42017861624873,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.9627129408911995, 'e': 0.6838614092123558}",25,4,-76.52778567179028,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
38,False,"{'a': 0.9617507091463667, 'e': 0.6770568744981647}",25,11,-10.360304733057191,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",25,2,-86.85722007173912,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 1}",1
40,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,0,-91.83503321636063,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150567}",20,0,-91.60771128331828,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
42,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",25,0,-79.28980305864019,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",20,0,-36.20134408942125,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",30,0,-50.61122659255305,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",20,0,-38.251112782239105,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",25,9,1.776009997736011,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",20,0,-32.94544738742217,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",20,0,-75.44613250090859,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
49,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",20,0,-82.61141622898019,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.950278670532427, 'e': 0.6004955788122659}",20,0,-16.99639279972458,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",25,0,-112.7231087697668,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
52,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",20,0,-41.13800316940767,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",30,0,-124.20260315827879,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
54,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",20,10,-5.920366131926534,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",20,0,-42.495400749075976,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",20,0,-92.81932501641089,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",35,0,-11.861142448995789,"{0: 29, 1: 4, 2: 1, 3: 1, 4: 0}",0
58,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",20,0,-66.80201861605632,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",25,7,-65.51249425057982,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
60,False,"{'a': 0.9408232397760098, 'e': 0.5433508690744998}",20,0,-83.02618408658383,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",20,0,-76.41686724192637,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",25,5,10.50054501004819,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",20,0,-28.871206160600263,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",25,14,-56.68115852217651,"{0: 7, 1: 0, 2: 1, 3: 3, 4: 0}",1
65,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",25,0,-6.86052199980008,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
66,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",25,0,-47.887680322178355,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",30,0,-92.59295348591067,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",25,0,-66.37926940810908,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",25,0,-59.5824897876683,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
70,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",20,0,-95.86751571850812,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
71,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",25,15,14.089721001520433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",25,0,-190.6603519560344,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
73,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",30,12,-59.70990102879051,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
74,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",20,2,-58.92297607985427,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",20,0,-155.01873469124135,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
76,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",30,20,-31.834182359156728,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",25,7,-42.57685085390688,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.9240399244450869, 'e': 0.45384479528235583}",20,0,-16.55763817123263,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",25,18,14.12254459966422,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",20,14,-3.9275220914822793,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",25,0,-81.76250952136088,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",20,3,-42.1635836385921,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
83,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",25,12,-22.638232330807746,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",20,0,-20.60612874239726,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",20,11,-16.29945265971123,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
