trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",25,0,-76.43541384420425,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",25,0,-17.376473166929106,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",20,0,-91.06849364616104,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.9408232397760098, 'e': 0.5433508690744998}",30,2,-112.74302859705642,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 2}",1
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",30,19,-30.9555614358098,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",20,0,-102.38991839315479,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",20,0,-15.447517980167813,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",25,16,11.157440487413425,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",25,0,-76.25846687994519,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",25,0,-112.16658312155134,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",20,5,-55.44544549011433,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",20,1,-42.841769949484934,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 0}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",20,0,-115.10687161512155,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",30,0,-36.44224891340553,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",25,0,-53.257055994422444,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",30,8,-46.17998128651402,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",20,0,-55.7235545587724,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",25,0,-77.77965340546952,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",30,0,-44.95954937709797,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",20,14,-18.01639753662784,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",20,0,-2.6667666261864476,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.9240399244450869, 'e': 0.45384479528235583}",20,0,-73.1224403418151,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",20,10,-55.89904564498335,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",20,0,6.829481004539912,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
